DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,DATE,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-01,01-01-2006,63.3,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-02,01-02-2006,63.49,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-03,01-03-2006,63.82,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-04,01-04-2006,64.24,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-05,01-05-2006,64.44,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-06,01-06-2006,64.48,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-07,01-07-2006,64.41,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-08,01-08-2006,64.48,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-09,01-09-2006,64.5,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-10,01-10-2006,64.55,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-11,01-11-2006,64.6,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2006-12,01-12-2006,64.82,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-01,01-01-2007,64.58,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-02,01-02-2007,64.78,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-03,01-03-2007,65.19,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-04,01-04-2007,65.6,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-05,01-05-2007,65.77,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-06,01-06-2007,65.84,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-07,01-07-2007,65.71,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-08,01-08-2007,65.77,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-09,01-09-2007,66.05,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-10,01-10-2007,66.39,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-11,01-11-2007,66.77,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2007-12,01-12-2007,67.03,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-01,01-01-2008,66.94,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-02,01-02-2008,67.19,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-03,01-03-2008,67.8,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-04,01-04-2008,68.04,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-05,01-05-2008,68.46,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-06,01-06-2008,68.72,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-07,01-07-2008,68.65,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-08,01-08-2008,68.55,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-09,01-09-2008,68.71,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-10,01-10-2008,68.76,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-11,01-11-2008,68.47,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2008-12,01-12-2008,68.38,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-01,01-01-2009,67.98,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-02,01-02-2009,68.29,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-03,01-03-2009,68.56,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-04,01-04-2009,68.8,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-05,01-05-2009,68.88,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-06,01-06-2009,69.01,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-07,01-07-2009,68.64,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-08,01-08-2009,68.81,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-09,01-09-2009,68.83,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-10,01-10-2009,68.97,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-11,01-11-2009,69.07,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2009-12,01-12-2009,69.25,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-01,01-01-2010,68.87,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-02,01-02-2010,69.09,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-03,01-03-2010,69.76,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-04,01-04-2010,70.04,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-05,01-05-2010,70.14,,
